Register_No,Name,Department,Subject_1,Mark_1,Subject_2,Mark_2,Subject_3,Mark_3,Attendance_%,Current_GPA
12313,Student_2313,CSE,Data Science,88,Operating Systems,86,Cyber Security,93,66,8.9
12314,Student_2314,CSE,Data Science,70,Operating Systems,82,Cyber Security,47,90,6.63
12315,Student_2315,IT,Data Science,93,Cloud Computing,62,Web Frameworks,71,92,7.53
12316,Student_2316,ECE,VLSI Design,42,Digital Electronics,60,Signal Processing,59,93,5.37
12317,Student_2317,ECE,VLSI Design,55,Digital Electronics,75,Signal Processing,93,95,7.43
12318,Student_2318,ECE,VLSI Design,52,Digital Electronics,61,Signal Processing,58,82,5.7
12319,Student_2319,MECH,Thermodynamics,95,Fluid Mechanics,97,Robotics,48,95,8.0
12320,Student_2320,IT,Data Science,52,Cloud Computing,85,Web Frameworks,97,76,7.8
12321,Student_2321,CSE,Data Science,50,Operating Systems,91,Cyber Security,52,87,6.43
12322,Student_2322,IT,Data Science,56,Cloud Computing,78,Web Frameworks,56,97,6.33
12323,Student_2323,ECE,VLSI Design,45,Digital Electronics,91,Signal Processing,54,87,6.33
12324,Student_2324,ECE,VLSI Design,72,Digital Electronics,64,Signal Processing,81,73,7.23
12325,Student_2325,EEE,Power Systems,61,Control Theory,49,Electric Machines,81,82,6.37
12326,Student_2326,ECE,VLSI Design,70,Digital Electronics,62,Signal Processing,62,89,6.47
12327,Student_2327,MECH,Thermodynamics,53,Fluid Mechanics,90,Robotics,80,98,7.43
12328,Student_2328,IT,Data Science,77,Cloud Computing,96,Web Frameworks,68,95,8.03
12329,Student_2329,ECE,VLSI Design,81,Digital Electronics,77,Signal Processing,72,87,7.67
12330,Student_2330,EEE,Power Systems,52,Control Theory,96,Electric Machines,81,80,7.63
12331,Student_2331,MECH,Thermodynamics,55,Fluid Mechanics,49,Robotics,71,65,5.83
12332,Student_2332,MECH,Thermodynamics,48,Fluid Mechanics,84,Robotics,69,84,6.7
12333,Student_2333,IT,Data Science,56,Cloud Computing,83,Web Frameworks,89,81,7.6
12334,Student_2334,CSE,Data Science,83,Operating Systems,89,Cyber Security,70,83,8.07
12335,Student_2335,IT,Data Science,64,Cloud Computing,88,Web Frameworks,44,88,6.53
12336,Student_2336,CSE,Data Science,45,Operating Systems,54,Cyber Security,55,77,5.13
12337,Student_2337,MECH,Thermodynamics,54,Fluid Mechanics,72,Robotics,71,84,6.57
12338,Student_2338,MECH,Thermodynamics,40,Fluid Mechanics,61,Robotics,48,72,4.97
12339,Student_2339,CSE,Data Science,66,Operating Systems,75,Cyber Security,65,92,6.87
12340,Student_2340,EEE,Power Systems,67,Control Theory,98,Electric Machines,70,88,7.83
12341,Student_2341,EEE,Power Systems,90,Control Theory,57,Electric Machines,85,67,7.73
12342,Student_2342,IT,Data Science,93,Cloud Computing,58,Web Frameworks,55,84,6.87
12343,Student_2343,EEE,Power Systems,59,Control Theory,80,Electric Machines,41,70,6.0
12344,Student_2344,IT,Data Science,53,Cloud Computing,50,Web Frameworks,47,96,5.0
12345,Student_2345,MECH,Thermodynamics,61,Fluid Mechanics,49,Robotics,70,71,6.0
12346,Student_2346,CSE,Data Science,64,Operating Systems,90,Cyber Security,99,97,8.43
12347,Student_2347,CSE,Data Science,87,Operating Systems,59,Cyber Security,69,87,7.17
12348,Student_2348,EEE,Power Systems,58,Control Theory,64,Electric Machines,45,68,5.57
12349,Student_2349,CSE,Data Science,82,Operating Systems,42,Cyber Security,46,68,5.67
12350,Student_2350,ECE,VLSI Design,65,Digital Electronics,76,Signal Processing,62,87,6.77
12351,Student_2351,IT,Data Science,89,Cloud Computing,91,Web Frameworks,57,90,7.9
12352,Student_2352,ECE,VLSI Design,83,Digital Electronics,86,Signal Processing,52,74,7.37
12353,Student_2353,IT,Data Science,99,Cloud Computing,76,Web Frameworks,97,93,9.07
12354,Student_2354,ECE,VLSI Design,62,Digital Electronics,87,Signal Processing,92,69,8.03
12355,Student_2355,MECH,Thermodynamics,52,Fluid Mechanics,62,Robotics,75,74,6.3
12356,Student_2356,ECE,VLSI Design,75,Digital Electronics,42,Signal Processing,87,65,6.8
12357,Student_2357,IT,Data Science,41,Cloud Computing,69,Web Frameworks,75,93,6.17
12358,Student_2358,ECE,VLSI Design,67,Digital Electronics,61,Signal Processing,55,70,6.1
12359,Student_2359,MECH,Thermodynamics,52,Fluid Mechanics,95,Robotics,40,83,6.23
12360,Student_2360,MECH,Thermodynamics,44,Fluid Mechanics,51,Robotics,45,77,4.67
12361,Student_2361,CSE,Data Science,96,Operating Systems,83,Cyber Security,92,66,9.03
12362,Student_2362,EEE,Power Systems,51,Control Theory,89,Electric Machines,51,89,6.37
12363,Student_2363,IT,Data Science,63,Cloud Computing,46,Web Frameworks,71,75,6.0
12364,Student_2364,CSE,Data Science,87,Operating Systems,74,Cyber Security,99,75,8.67
12365,Student_2365,CSE,Data Science,68,Operating Systems,89,Cyber Security,41,78,6.6
12366,Student_2366,EEE,Power Systems,68,Control Theory,54,Electric Machines,60,65,6.07
12367,Student_2367,CSE,Data Science,49,Operating Systems,80,Cyber Security,77,71,6.87
12368,Student_2368,CSE,Data Science,93,Operating Systems,91,Cyber Security,67,76,8.37
12369,Student_2369,EEE,Power Systems,41,Control Theory,71,Electric Machines,87,91,6.63
12370,Student_2370,CSE,Data Science,75,Operating Systems,73,Cyber Security,65,85,7.1
12371,Student_2371,CSE,Data Science,44,Operating Systems,41,Cyber Security,69,67,5.13
12372,Student_2372,ECE,VLSI Design,78,Digital Electronics,86,Signal Processing,57,78,7.37
12373,Student_2373,MECH,Thermodynamics,74,Fluid Mechanics,53,Robotics,82,68,6.97
12374,Student_2374,ECE,VLSI Design,57,Digital Electronics,81,Signal Processing,78,90,7.2
12375,Student_2375,CSE,Data Science,74,Operating Systems,86,Cyber Security,80,69,8.0
12376,Student_2376,EEE,Power Systems,96,Control Theory,64,Electric Machines,76,65,7.87
12377,Student_2377,IT,Data Science,41,Cloud Computing,41,Web Frameworks,67,86,4.97
12378,Student_2378,MECH,Thermodynamics,91,Fluid Mechanics,90,Robotics,48,94,7.63
12379,Student_2379,IT,Data Science,90,Cloud Computing,76,Web Frameworks,84,66,8.33
12380,Student_2380,ECE,VLSI Design,47,Digital Electronics,64,Signal Processing,61,76,5.73
12381,Student_2381,IT,Data Science,50,Cloud Computing,68,Web Frameworks,86,98,6.8
12382,Student_2382,IT,Data Science,42,Cloud Computing,53,Web Frameworks,58,67,5.1
12383,Student_2383,EEE,Power Systems,51,Control Theory,49,Electric Machines,90,82,6.33
12384,Student_2384,CSE,Data Science,79,Operating Systems,77,Cyber Security,56,70,7.07
12385,Student_2385,ECE,VLSI Design,99,Digital Electronics,43,Signal Processing,77,75,7.3
12386,Student_2386,MECH,Thermodynamics,73,Fluid Mechanics,41,Robotics,96,86,7.0
12387,Student_2387,EEE,Power Systems,40,Control Theory,84,Electric Machines,56,66,6.0
12388,Student_2388,IT,Data Science,51,Cloud Computing,63,Web Frameworks,91,78,6.83
12389,Student_2389,CSE,Data Science,95,Operating Systems,43,Cyber Security,79,95,7.23
12390,Student_2390,ECE,VLSI Design,42,Digital Electronics,72,Signal Processing,71,82,6.17
12391,Student_2391,IT,Data Science,78,Cloud Computing,96,Web Frameworks,83,68,8.57
12392,Student_2392,ECE,VLSI Design,43,Digital Electronics,90,Signal Processing,61,67,6.47
12393,Student_2393,EEE,Power Systems,55,Control Theory,78,Electric Machines,48,85,6.03
12394,Student_2394,MECH,Thermodynamics,87,Fluid Mechanics,82,Robotics,63,87,7.73
12395,Student_2395,MECH,Thermodynamics,73,Fluid Mechanics,79,Robotics,62,95,7.13
12396,Student_2396,IT,Data Science,62,Cloud Computing,51,Web Frameworks,43,78,5.2
12397,Student_2397,IT,Data Science,40,Cloud Computing,70,Web Frameworks,58,84,5.6
12398,Student_2398,EEE,Power Systems,48,Control Theory,71,Electric Machines,41,66,5.33
12399,Student_2399,MECH,Thermodynamics,59,Fluid Mechanics,74,Robotics,90,81,7.43
12400,Student_2400,CSE,Data Science,98,Operating Systems,47,Cyber Security,74,82,7.3
12401,Student_2401,CSE,Data Science,93,Operating Systems,61,Cyber Security,43,95,6.57
12402,Student_2402,MECH,Thermodynamics,89,Fluid Mechanics,72,Robotics,66,84,7.57
12403,Student_2403,CSE,Data Science,55,Operating Systems,90,Cyber Security,87,88,7.73
12404,Student_2404,MECH,Thermodynamics,64,Fluid Mechanics,70,Robotics,66,91,6.67
12405,Student_2405,MECH,Thermodynamics,92,Fluid Mechanics,50,Robotics,74,86,7.2
12406,Student_2406,EEE,Power Systems,67,Control Theory,89,Electric Machines,41,92,6.57
12407,Student_2407,MECH,Thermodynamics,95,Fluid Mechanics,56,Robotics,78,92,7.63
12408,Student_2408,CSE,Data Science,49,Operating Systems,99,Cyber Security,43,87,6.37
12409,Student_2409,EEE,Power Systems,94,Control Theory,71,Electric Machines,66,81,7.7
12410,Student_2410,MECH,Thermodynamics,52,Fluid Mechanics,74,Robotics,93,86,7.3
12411,Student_2411,ECE,VLSI Design,58,Digital Electronics,69,Signal Processing,72,94,6.63
12412,Student_2412,IT,Data Science,67,Cloud Computing,83,Web Frameworks,82,88,7.73
12413,Student_2413,EEE,Power Systems,81,Control Theory,50,Electric Machines,94,80,7.5
12414,Student_2414,EEE,Power Systems,87,Control Theory,97,Electric Machines,40,87,7.47
12415,Student_2415,EEE,Power Systems,96,Control Theory,59,Electric Machines,47,84,6.73
12416,Student_2416,ECE,VLSI Design,44,Digital Electronics,53,Signal Processing,60,73,5.23
12417,Student_2417,EEE,Power Systems,85,Control Theory,82,Electric Machines,61,76,7.6
12418,Student_2418,EEE,Power Systems,56,Control Theory,47,Electric Machines,71,68,5.8
12419,Student_2419,ECE,VLSI Design,72,Digital Electronics,40,Signal Processing,44,71,5.2
12420,Student_2420,IT,Data Science,75,Cloud Computing,82,Web Frameworks,85,76,8.07
12421,Student_2421,CSE,Data Science,95,Operating Systems,95,Cyber Security,40,69,7.67
12422,Student_2422,IT,Data Science,70,Cloud Computing,92,Web Frameworks,86,92,8.27
12423,Student_2423,CSE,Data Science,67,Operating Systems,69,Cyber Security,61,76,6.57
12424,Student_2424,MECH,Thermodynamics,58,Fluid Mechanics,61,Robotics,88,78,6.9
12425,Student_2425,CSE,Data Science,83,Operating Systems,87,Cyber Security,47,85,7.23
12426,Student_2426,MECH,Thermodynamics,88,Fluid Mechanics,75,Robotics,64,83,7.57
12427,Student_2427,CSE,Data Science,61,Operating Systems,52,Cyber Security,75,67,6.27
12428,Student_2428,MECH,Thermodynamics,98,Fluid Mechanics,58,Robotics,63,80,7.3
12429,Student_2429,CSE,Data Science,42,Operating Systems,53,Cyber Security,40,84,4.5
12430,Student_2430,ECE,VLSI Design,74,Digital Electronics,66,Signal Processing,66,98,6.87
12431,Student_2431,CSE,Data Science,59,Operating Systems,95,Cyber Security,43,99,6.57
12432,Student_2432,EEE,Power Systems,41,Control Theory,66,Electric Machines,40,77,4.9
12433,Student_2433,EEE,Power Systems,80,Control Theory,46,Electric Machines,44,72,5.67
12434,Student_2434,EEE,Power Systems,90,Control Theory,60,Electric Machines,98,69,8.27
12435,Student_2435,CSE,Data Science,62,Operating Systems,77,Cyber Security,69,86,6.93
12436,Student_2436,MECH,Thermodynamics,42,Fluid Mechanics,61,Robotics,81,73,6.13
12437,Student_2437,EEE,Power Systems,51,Control Theory,92,Electric Machines,78,82,7.37
12438,Student_2438,MECH,Thermodynamics,94,Fluid Mechanics,99,Robotics,42,77,7.83
12439,Student_2439,ECE,VLSI Design,48,Digital Electronics,61,Signal Processing,63,91,5.73
12440,Student_2440,MECH,Thermodynamics,90,Fluid Mechanics,94,Robotics,55,93,7.97
12441,Student_2441,IT,Data Science,69,Cloud Computing,93,Web Frameworks,48,79,7.0
12442,Student_2442,EEE,Power Systems,98,Control Theory,40,Electric Machines,87,85,7.5
12443,Student_2443,ECE,VLSI Design,55,Digital Electronics,79,Signal Processing,44,85,5.93
12444,Student_2444,EEE,Power Systems,80,Control Theory,69,Electric Machines,87,72,7.87
12445,Student_2445,ECE,VLSI Design,62,Digital Electronics,46,Signal Processing,44,71,5.07
12446,Student_2446,MECH,Thermodynamics,73,Fluid Mechanics,69,Robotics,61,75,6.77
12447,Student_2447,MECH,Thermodynamics,77,Fluid Mechanics,86,Robotics,63,73,7.53
12448,Student_2448,CSE,Data Science,94,Operating Systems,88,Cyber Security,86,70,8.93
12449,Student_2449,CSE,Data Science,72,Operating Systems,57,Cyber Security,45,78,5.8
12450,Student_2450,CSE,Data Science,41,Operating Systems,40,Cyber Security,51,75,4.4
12451,Student_2451,ECE,VLSI Design,44,Digital Electronics,68,Signal Processing,61,86,5.77
12452,Student_2452,ECE,VLSI Design,41,Digital Electronics,50,Signal Processing,58,76,4.97
12453,Student_2453,EEE,Power Systems,99,Control Theory,43,Electric Machines,40,75,6.07
12454,Student_2454,MECH,Thermodynamics,96,Fluid Mechanics,52,Robotics,49,81,6.57
12455,Student_2455,CSE,Data Science,56,Operating Systems,85,Cyber Security,44,94,6.17
12456,Student_2456,ECE,VLSI Design,80,Digital Electronics,65,Signal Processing,46,68,6.37
12457,Student_2457,CSE,Data Science,91,Operating Systems,75,Cyber Security,42,81,6.93
12458,Student_2458,CSE,Data Science,83,Operating Systems,53,Cyber Security,49,96,6.17
12459,Student_2459,IT,Data Science,62,Cloud Computing,98,Web Frameworks,92,98,8.4
12460,Student_2460,ECE,VLSI Design,79,Digital Electronics,73,Signal Processing,89,66,8.03
12461,Student_2461,EEE,Power Systems,51,Control Theory,68,Electric Machines,59,70,5.93
12462,Student_2462,IT,Data Science,88,Cloud Computing,93,Web Frameworks,73,76,8.47
12463,Student_2463,ECE,VLSI Design,75,Digital Electronics,90,Signal Processing,75,73,8.0
12464,Student_2464,MECH,Thermodynamics,59,Fluid Mechanics,64,Robotics,80,99,6.77
12465,Student_2465,CSE,Data Science,67,Operating Systems,44,Cyber Security,86,91,6.57
12466,Student_2466,MECH,Thermodynamics,85,Fluid Mechanics,53,Robotics,97,97,7.83
12467,Student_2467,ECE,VLSI Design,76,Digital Electronics,93,Signal Processing,71,74,8.0
12468,Student_2468,EEE,Power Systems,73,Control Theory,50,Electric Machines,52,83,5.83
12469,Student_2469,IT,Data Science,90,Cloud Computing,77,Web Frameworks,61,95,7.6
12470,Student_2470,EEE,Power Systems,66,Control Theory,71,Electric Machines,98,66,7.83
12471,Student_2471,CSE,Data Science,75,Operating Systems,55,Cyber Security,61,84,6.37
12472,Student_2472,EEE,Power Systems,65,Control Theory,48,Electric Machines,93,67,6.87
12473,Student_2473,EEE,Power Systems,86,Control Theory,55,Electric Machines,64,99,6.83
12474,Student_2474,ECE,VLSI Design,98,Digital Electronics,93,Signal Processing,98,82,9.63
12475,Student_2475,CSE,Data Science,89,Operating Systems,41,Cyber Security,53,72,6.1
12476,Student_2476,IT,Data Science,98,Cloud Computing,59,Web Frameworks,95,96,8.4
12477,Student_2477,MECH,Thermodynamics,90,Fluid Mechanics,50,Robotics,73,87,7.1
12478,Student_2478,IT,Data Science,67,Cloud Computing,40,Web Frameworks,97,70,6.8
12479,Student_2479,CSE,Data Science,56,Operating Systems,59,Cyber Security,50,90,5.5
12480,Student_2480,EEE,Power Systems,66,Control Theory,53,Electric Machines,61,69,6.0
12481,Student_2481,MECH,Thermodynamics,71,Fluid Mechanics,46,Robotics,62,77,5.97
12482,Student_2482,MECH,Thermodynamics,73,Fluid Mechanics,62,Robotics,91,86,7.53
12483,Student_2483,EEE,Power Systems,46,Control Theory,87,Electric Machines,57,66,6.33
12484,Student_2484,EEE,Power Systems,46,Control Theory,93,Electric Machines,97,74,7.87
12485,Student_2485,MECH,Thermodynamics,55,Fluid Mechanics,50,Robotics,53,78,5.27
12486,Student_2486,ECE,VLSI Design,96,Digital Electronics,84,Signal Processing,87,92,8.9
12487,Student_2487,EEE,Power Systems,49,Control Theory,99,Electric Machines,52,72,6.67
12488,Student_2488,EEE,Power Systems,69,Control Theory,91,Electric Machines,66,73,7.53
12489,Student_2489,MECH,Thermodynamics,57,Fluid Mechanics,78,Robotics,60,86,6.5
12490,Student_2490,MECH,Thermodynamics,90,Fluid Mechanics,41,Robotics,68,92,6.63
12491,Student_2491,IT,Data Science,63,Cloud Computing,83,Web Frameworks,78,84,7.47
12492,Student_2492,EEE,Power Systems,96,Control Theory,65,Electric Machines,65,71,7.53
12493,Student_2493,ECE,VLSI Design,53,Digital Electronics,89,Signal Processing,83,76,7.5
12494,Student_2494,IT,Data Science,97,Cloud Computing,67,Web Frameworks,60,74,7.47
12495,Student_2495,IT,Data Science,43,Cloud Computing,54,Web Frameworks,57,69,5.13
12496,Student_2496,CSE,Data Science,62,Operating Systems,51,Cyber Security,53,85,5.53
12497,Student_2497,MECH,Thermodynamics,87,Fluid Mechanics,74,Robotics,95,73,8.53
12498,Student_2498,IT,Data Science,43,Cloud Computing,60,Web Frameworks,45,87,4.93
12499,Student_2499,CSE,Data Science,44,Operating Systems,81,Cyber Security,85,76,7.0
12500,Student_2500,ECE,VLSI Design,41,Digital Electronics,66,Signal Processing,85,90,6.4
12501,Student_2501,MECH,Thermodynamics,42,Fluid Mechanics,88,Robotics,79,88,6.97
12502,Student_2502,EEE,Power Systems,44,Control Theory,86,Electric Machines,59,93,6.3
12503,Student_2503,CSE,Data Science,75,Operating Systems,95,Cyber Security,56,68,7.53
12504,Student_2504,IT,Data Science,82,Cloud Computing,57,Web Frameworks,45,69,6.13
12505,Student_2505,IT,Data Science,77,Cloud Computing,56,Web Frameworks,69,77,6.73
12506,Student_2506,CSE,Data Science,82,Operating Systems,63,Cyber Security,98,72,8.1
12507,Student_2507,CSE,Data Science,67,Operating Systems,80,Cyber Security,91,80,7.93
12508,Student_2508,EEE,Power Systems,71,Control Theory,95,Electric Machines,80,78,8.2
12509,Student_2509,IT,Data Science,61,Cloud Computing,90,Web Frameworks,92,88,8.1
12510,Student_2510,EEE,Power Systems,78,Control Theory,65,Electric Machines,75,67,7.27
12511,Student_2511,IT,Data Science,81,Cloud Computing,82,Web Frameworks,97,73,8.67
12512,Student_2512,EEE,Power Systems,61,Control Theory,97,Electric Machines,59,85,7.23
12513,Student_2513,IT,Data Science,97,Cloud Computing,73,Web Frameworks,68,77,7.93
12514,Student_2514,EEE,Power Systems,57,Control Theory,64,Electric Machines,54,92,5.83
12515,Student_2515,CSE,Data Science,85,Operating Systems,90,Cyber Security,46,73,7.37
12516,Student_2516,ECE,VLSI Design,55,Digital Electronics,52,Signal Processing,55,98,5.4
12517,Student_2517,EEE,Power Systems,76,Control Theory,63,Electric Machines,66,86,6.83
12518,Student_2518,EEE,Power Systems,91,Control Theory,81,Electric Machines,80,73,8.4
12519,Student_2519,IT,Data Science,82,Cloud Computing,85,Web Frameworks,73,75,8.0
12520,Student_2520,ECE,VLSI Design,80,Digital Electronics,71,Signal Processing,51,93,6.73
12521,Student_2521,ECE,VLSI Design,57,Digital Electronics,53,Signal Processing,95,96,6.83
12522,Student_2522,MECH,Thermodynamics,46,Fluid Mechanics,60,Robotics,45,98,5.03
12523,Student_2523,CSE,Data Science,81,Operating Systems,64,Cyber Security,82,91,7.57
12524,Student_2524,EEE,Power Systems,68,Control Theory,88,Electric Machines,69,70,7.5
12525,Student_2525,ECE,VLSI Design,47,Digital Electronics,88,Signal Processing,54,80,6.3
12526,Student_2526,EEE,Power Systems,51,Control Theory,73,Electric Machines,54,99,5.93
12527,Student_2527,EEE,Power Systems,87,Control Theory,87,Electric Machines,77,87,8.37
12528,Student_2528,EEE,Power Systems,49,Control Theory,55,Electric Machines,99,80,6.77
12529,Student_2529,EEE,Power Systems,43,Control Theory,97,Electric Machines,89,86,7.63
12530,Student_2530,MECH,Thermodynamics,92,Fluid Mechanics,54,Robotics,41,98,6.23
12531,Student_2531,ECE,VLSI Design,68,Digital Electronics,55,Signal Processing,78,89,6.7
12532,Student_2532,EEE,Power Systems,66,Control Theory,89,Electric Machines,70,86,7.5
12533,Student_2533,EEE,Power Systems,43,Control Theory,50,Electric Machines,82,68,5.83
12534,Student_2534,CSE,Data Science,93,Operating Systems,81,Cyber Security,94,71,8.93
12535,Student_2535,CSE,Data Science,85,Operating Systems,51,Cyber Security,66,97,6.73
12536,Student_2536,ECE,VLSI Design,88,Digital Electronics,99,Signal Processing,51,79,7.93
12537,Student_2537,IT,Data Science,70,Cloud Computing,73,Web Frameworks,41,77,6.13
12538,Student_2538,MECH,Thermodynamics,75,Fluid Mechanics,77,Robotics,43,93,6.5
12539,Student_2539,MECH,Thermodynamics,67,Fluid Mechanics,77,Robotics,85,87,7.63
12540,Student_2540,IT,Data Science,86,Cloud Computing,94,Web Frameworks,92,98,9.07
12541,Student_2541,ECE,VLSI Design,68,Digital Electronics,89,Signal Processing,92,83,8.3
12542,Student_2542,IT,Data Science,46,Cloud Computing,64,Web Frameworks,54,78,5.47
12543,Student_2543,IT,Data Science,41,Cloud Computing,85,Web Frameworks,92,96,7.27
12544,Student_2544,MECH,Thermodynamics,57,Fluid Mechanics,48,Robotics,69,88,5.8
12545,Student_2545,MECH,Thermodynamics,58,Fluid Mechanics,48,Robotics,53,76,5.3
12546,Student_2546,EEE,Power Systems,70,Control Theory,93,Electric Machines,50,90,7.1
12547,Student_2547,EEE,Power Systems,40,Control Theory,68,Electric Machines,48,76,5.2
12548,Student_2548,ECE,VLSI Design,70,Digital Electronics,65,Signal Processing,52,78,6.23
12549,Student_2549,MECH,Thermodynamics,54,Fluid Mechanics,69,Robotics,90,66,7.1
12550,Student_2550,IT,Data Science,50,Cloud Computing,80,Web Frameworks,79,82,6.97
12551,Student_2551,ECE,VLSI Design,47,Digital Electronics,99,Signal Processing,57,67,6.77
12552,Student_2552,ECE,VLSI Design,57,Digital Electronics,76,Signal Processing,77,83,7.0
12553,Student_2553,MECH,Thermodynamics,60,Fluid Mechanics,98,Robotics,62,78,7.33
12554,Student_2554,EEE,Power Systems,82,Control Theory,82,Electric Machines,89,78,8.43
12555,Student_2555,MECH,Thermodynamics,93,Fluid Mechanics,53,Robotics,41,95,6.23
12556,Student_2556,ECE,VLSI Design,87,Digital Electronics,69,Signal Processing,46,74,6.73
12557,Student_2557,EEE,Power Systems,44,Control Theory,56,Electric Machines,61,85,5.37
12558,Student_2558,ECE,VLSI Design,95,Digital Electronics,85,Signal Processing,81,90,8.7
12559,Student_2559,EEE,Power Systems,63,Control Theory,98,Electric Machines,88,97,8.3
12560,Student_2560,MECH,Thermodynamics,45,Fluid Mechanics,54,Robotics,75,82,5.8
12561,Student_2561,IT,Data Science,93,Cloud Computing,59,Web Frameworks,83,77,7.83
12562,Student_2562,CSE,Data Science,91,Operating Systems,59,Cyber Security,51,99,6.7
12563,Student_2563,MECH,Thermodynamics,93,Fluid Mechanics,42,Robotics,86,92,7.37
12564,Student_2564,IT,Data Science,61,Cloud Computing,61,Web Frameworks,93,85,7.17
12565,Student_2565,CSE,Data Science,78,Operating Systems,82,Cyber Security,67,71,7.57
12566,Student_2566,IT,Data Science,97,Cloud Computing,66,Web Frameworks,98,86,8.7
12567,Student_2567,EEE,Power Systems,78,Control Theory,87,Electric Machines,66,88,7.7
12568,Student_2568,IT,Data Science,85,Cloud Computing,49,Web Frameworks,77,98,7.03
12569,Student_2569,CSE,Data Science,82,Operating Systems,80,Cyber Security,79,90,8.03
12570,Student_2570,MECH,Thermodynamics,82,Fluid Mechanics,79,Robotics,93,76,8.47
12571,Student_2571,CSE,Data Science,86,Operating Systems,67,Cyber Security,79,79,7.73
12572,Student_2572,CSE,Data Science,82,Operating Systems,83,Cyber Security,72,99,7.9
12573,Student_2573,EEE,Power Systems,56,Control Theory,53,Electric Machines,45,88,5.13
12574,Student_2574,IT,Data Science,78,Cloud Computing,88,Web Frameworks,81,71,8.23
12575,Student_2575,ECE,VLSI Design,77,Digital Electronics,75,Signal Processing,86,97,7.93
12576,Student_2576,ECE,VLSI Design,82,Digital Electronics,70,Signal Processing,54,77,6.87
12577,Student_2577,ECE,VLSI Design,61,Digital Electronics,94,Signal Processing,42,68,6.57
12578,Student_2578,CSE,Data Science,99,Operating Systems,44,Cyber Security,89,95,7.73
12579,Student_2579,EEE,Power Systems,60,Control Theory,44,Electric Machines,58,75,5.4
12580,Student_2580,IT,Data Science,43,Cloud Computing,95,Web Frameworks,96,95,7.8
12581,Student_2581,EEE,Power Systems,67,Control Theory,95,Electric Machines,63,89,7.5
12582,Student_2582,ECE,VLSI Design,52,Digital Electronics,67,Signal Processing,66,83,6.17
12583,Student_2583,MECH,Thermodynamics,46,Fluid Mechanics,94,Robotics,67,87,6.9
12584,Student_2584,EEE,Power Systems,68,Control Theory,98,Electric Machines,68,79,7.8
12585,Student_2585,MECH,Thermodynamics,46,Fluid Mechanics,77,Robotics,70,98,6.43
12586,Student_2586,CSE,Data Science,70,Operating Systems,90,Cyber Security,99,68,8.63
12587,Student_2587,EEE,Power Systems,88,Control Theory,63,Electric Machines,76,70,7.57
12588,Student_2588,EEE,Power Systems,73,Control Theory,90,Electric Machines,88,91,8.37
12589,Student_2589,MECH,Thermodynamics,86,Fluid Mechanics,49,Robotics,92,89,7.57
12590,Student_2590,MECH,Thermodynamics,84,Fluid Mechanics,90,Robotics,87,86,8.7
12591,Student_2591,IT,Data Science,51,Cloud Computing,40,Web Frameworks,40,78,4.37
12592,Student_2592,ECE,VLSI Design,76,Digital Electronics,90,Signal Processing,46,80,7.07
12593,Student_2593,ECE,VLSI Design,80,Digital Electronics,88,Signal Processing,99,79,8.9
12594,Student_2594,CSE,Data Science,62,Operating Systems,80,Cyber Security,47,98,6.3
12595,Student_2595,IT,Data Science,84,Cloud Computing,78,Web Frameworks,66,86,7.6
12596,Student_2596,IT,Data Science,80,Cloud Computing,75,Web Frameworks,99,68,8.47
12597,Student_2597,EEE,Power Systems,97,Control Theory,43,Electric Machines,84,78,7.47
12598,Student_2598,CSE,Data Science,87,Operating Systems,97,Cyber Security,48,67,7.73
12599,Student_2599,IT,Data Science,81,Cloud Computing,62,Web Frameworks,87,95,7.67
12600,Student_2600,ECE,VLSI Design,51,Digital Electronics,48,Signal Processing,90,75,6.3
12601,Student_2601,ECE,VLSI Design,95,Digital Electronics,46,Signal Processing,75,71,7.2
12602,Student_2602,IT,Data Science,76,Cloud Computing,41,Web Frameworks,94,99,7.03
12603,Student_2603,IT,Data Science,51,Cloud Computing,93,Web Frameworks,45,80,6.3
12604,Student_2604,ECE,VLSI Design,92,Digital Electronics,67,Signal Processing,52,80,7.03
12605,Student_2605,IT,Data Science,81,Cloud Computing,59,Web Frameworks,90,72,7.67
12606,Student_2606,MECH,Thermodynamics,72,Fluid Mechanics,61,Robotics,49,71,6.07
12607,Student_2607,EEE,Power Systems,84,Control Theory,71,Electric Machines,61,98,7.2
12608,Student_2608,MECH,Thermodynamics,46,Fluid Mechanics,42,Robotics,44,74,4.4
12609,Student_2609,CSE,Data Science,90,Operating Systems,84,Cyber Security,69,99,8.1
12610,Student_2610,MECH,Thermodynamics,67,Fluid Mechanics,63,Robotics,77,79,6.9
12611,Student_2611,IT,Data Science,65,Cloud Computing,59,Web Frameworks,67,79,6.37
12612,Student_2612,MECH,Thermodynamics,75,Fluid Mechanics,90,Robotics,42,85,6.9
12613,Student_2613,CSE,Data Science,46,Operating Systems,91,Cyber Security,93,79,7.67
12614,Student_2614,EEE,Power Systems,69,Control Theory,48,Electric Machines,47,87,5.47
12615,Student_2615,ECE,VLSI Design,90,Digital Electronics,41,Signal Processing,47,86,5.93
12616,Student_2616,IT,Data Science,82,Cloud Computing,89,Web Frameworks,97,83,8.93
12617,Student_2617,ECE,VLSI Design,47,Digital Electronics,62,Signal Processing,84,76,6.43
